trip_id,start_time,end_time,headway_secs,exact_times
"7.TA.93-284-0-j26-1.1.H","18:25:00","19:55:00","1800","0"
"8.TA.93-284-0-j26-1.1.H","05:25:00","05:55:00","1800","0"
"9.TA.93-284-0-j26-1.1.H","18:25:00","19:55:00","1800","0"
"10.TA.93-284-0-j26-1.1.H","20:55:00","22:55:00","1800","0"
"12.TA.93-284-0-j26-1.1.H","06:25:00","08:10:00","900","0"
"13.TA.93-284-0-j26-1.1.H","17:10:00","17:55:00","900","0"
"15.TA.93-284-0-j26-1.1.H","16:25:00","17:55:00","900","0"
"17.TA.93-284-0-j26-1.1.H","20:55:00","22:55:00","1800","0"
"18.TA.93-284-0-j26-1.1.H","08:55:00","15:55:00","1800","0"
"19.TA.93-284-0-j26-1.2.R","20:55:00","22:55:00","1800","0"
"20.TA.93-284-0-j26-1.2.R","20:55:00","22:55:00","1800","0"
"21.TA.93-284-0-j26-1.2.R","08:25:00","15:55:00","1800","0"
"23.TA.93-284-0-j26-1.2.R","18:25:00","19:55:00","1800","0"
"24.TA.93-284-0-j26-1.2.R","16:25:00","17:55:00","900","0"
"25.TA.93-284-0-j26-1.2.R","06:25:00","08:25:00","900","0"
"26.TA.93-284-0-j26-1.2.R","05:25:00","05:55:00","1800","0"
"27.TA.93-284-0-j26-1.2.R","18:25:00","19:55:00","1800","0"
"28.TA.93-284-0-j26-1.2.R","17:10:00","17:55:00","900","0"
"29.TA.93-284-0-j26-1.2.R","16:25:00","16:55:00","900","0"
"30.TA.93-284-0-j26-1.2.R","06:25:00","08:10:00","900","0"
"31.TA.93-284-0-j26-1.2.R","05:25:00","05:55:00","1800","0"
"35.TA.93-284-0-j26-1.2.R","08:25:00","15:55:00","1800","0"
"1.TA.93-255-7-j26-1.1.H","09:00:00","16:30:00","60","0"
"2.TA.93-255-7-j26-1.1.H","09:00:00","17:30:00","60","0"
"3.TA.93-255-7-j26-1.1.H","08:15:00","17:30:00","60","0"
"4.TA.93-255-7-j26-1.1.H","09:00:00","11:45:00","60","0"
"5.TA.93-255-7-j26-1.1.H","13:00:00","17:30:00","60","0"
"6.TA.93-255-7-j26-1.2.R","09:00:00","11:45:00","60","0"
"7.TA.93-255-7-j26-1.2.R","08:15:00","17:30:00","60","0"
"8.TA.93-255-7-j26-1.2.R","09:00:00","16:30:00","60","0"
"9.TA.93-255-7-j26-1.2.R","09:00:00","17:30:00","60","0"
"10.TA.93-255-7-j26-1.2.R","13:00:00","17:30:00","60","0"
"1.TA.93-246-3-j26-1.1.H","09:00:00","17:00:00","1200","0"
"2.TA.93-246-3-j26-1.1.H","09:00:00","17:00:00","900","0"
"3.TA.93-246-3-j26-1.2.R","09:00:00","17:00:00","1200","0"
"4.TA.93-246-3-j26-1.2.R","09:00:00","17:00:00","900","0"
"1.TA.93-228-0-j26-1.1.H","08:30:00","17:30:00","60","0"
"2.TA.93-228-0-j26-1.1.H","08:30:00","16:50:00","60","0"
"3.TA.93-228-0-j26-1.1.H","08:30:00","16:50:00","60","0"
"4.TA.93-228-0-j26-1.1.H","08:30:00","16:50:00","60","0"
"5.TA.93-228-0-j26-1.1.H","07:00:00","17:50:00","60","0"
"6.TA.93-228-0-j26-1.1.H","08:30:00","17:20:00","60","0"
"7.TA.93-228-0-j26-1.1.H","08:30:00","16:50:00","60","0"
"8.TA.93-228-0-j26-1.2.H","08:40:00","16:30:00","60","0"
"9.TA.93-228-0-j26-1.2.H","08:40:00","16:45:00","60","0"
